uniqueid,text,text_translated,media,source,mode,num_persons,_timestamp,confidence,source_reliability,locations,origin_bool,origin,destination,geom_tweet,triage_status
715,RT @mariuskadys: Венгрия закрыла «зеленую зону» для беженцев на границе с Хорватией,hungary has closed the green zone for refugees on the border with croatia,,twitter,,,2019-11-09 03:27:03.000000,0.96,1.00,"['hungary', 'croatia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
716,RT @ntvru: Венгрия закрыла границу с Хорватией для ограничения транзита беженцев http://t.co/W7sCO3uL7C,hungary closed the border with croatia to limit the transit of refugees,,twitter,,,2019-11-09 03:45:05.000000,0.93,1.00,"['hungary', 'croatia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
717,Венгрия закрыла для беженцев границу с Хорватией: Венгрия закрыла для беженцев границу с Хорватией. Будапешт… http://t.co/KUIbhmFgoP,hungary has closed the border with croatia for refugees hungary has closed the border with croatia for refugees budapest,['http://pbs.twimg.com/media/CRfg8GsUEAAiyjg.jpg'],twitter,,,2019-11-09 04:31:07.000000,1.00,1.00,"['hungary', 'croatia', 'budapest']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
718,RT @rogtoris80: Венгрия закрыла свою границу с Хорватией http://t.co/UMS7ldiHLH,rogtoris80 hungary closes its border with croatia,,twitter,,,2019-11-09 06:11:10.000000,0.98,1.00,"['hungary', 'croatia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
719,Венгрия закрыла границу с Хорватией #Вмире http://t.co/Jdv5XSlqIv http://t.co/bnhjj7lTxj,hungary closed the border with croatia in the world,['http://pbs.twimg.com/media/CRgPJn5WwAAKx5Y.jpg'],twitter,,,2019-11-09 07:53:01.000000,0.56,1.00,"['hungary', 'croatia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
720,"Первый автобус с мигрантами прибыл к границе со Словенией - Как сообщил пресс-секретарь полиции агентству Reuters,... http://t.co/viweapccle",the first bus with migrants arrived at the border with slovenia as the police spokesman told reuters,,twitter,bus,,2019-11-09 08:02:34.000000,0.70,1.00,['slovenia'],,,,0101000000151DC9E53F042D402CD49AE61D074740,
721,Венгрия закрыла для мигрантов границу с Хорватией,hungary has closed the border with croatia for migrants,,twitter,,,2019-11-09 08:16:08.000000,1.00,1.00,"['hungary', 'croatia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
722,Поток мигрантов перенаправляют из Венгрии в Словению,the flow of migrants redirected from hungary to slovenia,,twitter,,,2019-11-09 08:21:15.000000,0.91,0.89,"['hungary', 'slovenia']",,HU,SI0,0101000000B003E78C280D3340D7A3703D0ABF4740,
723,RT @thWestph: Венгрия закрыла границу с Хорватией из-за мигрантов... http://t.co/sp6vqCWxLd http://t.co/vMMkOzJk8q,hungary closed the border with croatia because of migrants,['http://pbs.twimg.com/media/CRgmThqW0AAZWyN.jpg'],twitter,,,2019-11-09 09:34:11.000000,0.83,1.00,"['hungary', 'croatia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
724,Венгрия закрыла от мигрантов границу с Хорватией http://t.co/3Qv1pbr3mU,hungary has closed the border with croatia from migrants,,twitter,,,2019-11-09 10:04:48.000000,0.98,1.00,"['hungary', 'croatia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
725,Беженцы хлынули из Венгрии в Словению из-за закрытия границы,refugees rushed from hungary to slovenia because of the closure of the border,,twitter,,,2019-11-09 16:34:13.000000,0.97,0.82,"['hungary', 'slovenia']",,HU,SI0,0101000000B003E78C280D3340D7A3703D0ABF4740,
726,Словения подключила армию для сдерживания беженцев: Всех беженцев регистрируют и доставляют к австрийской границе.,slovenia joined the army to contain refugees all refugees are registered and brought to the austrian border,,twitter,,,2019-11-09 18:39:05.000000,0.82,0.66,"['slovenia', 'austria']",,,,0101000000151DC9E53F042D402CD49AE61D074740,
727,#Vmire В Словению за один день прибыли 3 тысячи мигрантов,vmire 3 000 migrants arrived in slovenia in one day,,twitter,,,2019-11-10 02:57:51.000000,0.92,0.90,['slovenia'],,,,0101000000151DC9E53F042D402CD49AE61D074740,
728,Около трех тысяч мигрантов прибыли в Словению из Хорватии за вчерашний день - Коммерсантъ,about three thousand migrants arrived in slovenia from croatia yesterday kommersant,,twitter,,3,2019-11-10 03:21:00.000000,0.56,0.91,"['slovenia', 'croatia']",,HR0,,0101000000151DC9E53F042D402CD49AE61D074740,
729,: Беженцы хлынули из Венгрии в Словению из-за закрытия границы http://t.co/DWnrlCUCAM  Источник &lt;,refugees rushed from hungary to slovenia because of the border closure source lt,,twitter,,,2019-11-10 07:11:26.000000,0.74,0.92,"['hungary', 'slovenia']",,HU,SI0,0101000000B003E78C280D3340D7A3703D0ABF4740,
730,За сутки в Словению прибыло почти три тысячи мигрантов В субботу сотни беженцев пересекли Хорватию от границы с Сербией до словенского гран,during the day almost three thousand migrants arrived in slovenia on saturday hundreds of refugees crossed croatia from the border with serbia to the slovenian gran,,twitter,,3,2019-11-10 09:58:34.000000,0.98,1.00,"['slovenia', 'croatia', 'serbia']",,,,0101000000151DC9E53F042D402CD49AE61D074740,
731,Тысячи мигрантов прибывают в Словению из Венгрии http://t.co/p6hXMfcvNP Новости Би-би-си,thousands of migrants arrive in slovenia from hungary bbc news,,twitter,,,2019-11-10 12:34:37.000000,0.85,1.00,"['slovenia', 'hungary']",,HU,SI0,0101000000151DC9E53F042D402CD49AE61D074740,
732,У берегов Италии спасены более 110 мигрантов http://t.co/VeFvetapqR,more than 110 migrants rescued off the coast of italy,['http://pbs.twimg.com/media/CRngJokUkAA5wxy.jpg'],twitter,,110,2019-11-10 17:44:38.000000,0.53,0.83,['italy'],,,,010100000000000000000029403333333333F34440,
733,Хорватия переправляет беженцев в Словению после закрытия Венгрией границы http://t.co/BvR2esF8LW,croatia forwards refugees to slovenia after hungary closes the border,,twitter,,,2019-11-11 02:48:07.000000,1.00,1.00,"['croatia', 'slovenia', 'hungary']",,,SI0,01010000004850FC1873F72F40545227A089E84640,
734,На границе Хорватии и Словении обострилась ситуация с беженцами,on the border of croatia and slovenia the situation with refugees has deteriorated,,twitter,,,2019-11-11 09:49:35.000000,0.59,0.92,"['croatia', 'slovenia']",,,,01010000004850FC1873F72F40545227A089E84640,
735,"После закрытия границы в #Венгрию тысячи #мигрантов хлынули на #Словению
http://t.co/JC5W0pWD2m #беженцы",after closing the border to hungary thousands of migrants rushed to slovenia refugees,,twitter,,,2019-11-11 11:53:56.000000,0.97,0.99,"['hungary', 'slovenia']",,,HU,0101000000B003E78C280D3340D7A3703D0ABF4740,
736,"Хорватская полиция не пропускает через границу около 50 автобусов с беженцами, пытающимися въехать в страну со стороны Сербии. Об этом…",croatian police do not allow about 50 buses across the border with refugees trying to enter the country from serbia about it,,twitter,bus,50,2019-11-11 14:10:06.000000,0.64,0.93,"['serbia', 'croatia']",,RS,,01010000000F0BB5A679773440545227A089684640,
737,МВД: около 5 тысяч мигрантов прибыли в Словению в понедельник,mia about 5 thousand migrants arrived in slovenia on monday,,twitter,,,2019-11-11 15:47:59.000000,0.92,0.78,['slovenia'],,,,0101000000151DC9E53F042D402CD49AE61D074740,
738,Хорватия открыла границу с Сербией для прохода мигрантов http://t.co/QD8kREhQbj,croatia opened the border with serbia for the passage of migrants,['http://pbs.twimg.com/media/CRsaSX1UAAAe8U6.jpg'],twitter,,,2019-11-11 16:37:07.000000,0.54,1.00,"['croatia', 'serbia']",,,,01010000004850FC1873F72F40545227A089E84640,
739,Хорватия открыла для беженцев границу с Сербией,croatia has opened a border with serbia for refugees,,twitter,,,2019-11-11 17:04:14.000000,0.98,0.93,"['croatia', 'serbia']",,,,01010000004850FC1873F72F40545227A089E84640,
740,Хорватия открыла границу с Сербией для тысяч мигрантов http://t.co/GLLWK4fpH7,croatia opened the border with serbia to thousands of migrants,['http://pbs.twimg.com/media/CRsiUCGUEAAl4Be.jpg'],twitter,,,2019-11-11 17:12:11.000000,0.80,1.00,"['croatia', 'serbia']",,,,01010000004850FC1873F72F40545227A089E84640,
741,Полиция в Москве задержала около 500 мигрантов,police in moscow detained about 500 migrants,,twitter,,500,2019-11-13 15:58:03.000000,0.87,0.06,['moscow'],,,,,
742,В Москве полицейские выпрашивали у мигрантов 1000 рублей «на...,in moscow the police begged 1000 rubles from migrants for,,twitter,,,2019-11-13 21:28:10.000000,0.70,0.00,['moscow'],,,,,
743,Полиция Австрии открыла проход для беженцев на границе со Словенией,austrian police opened a passage for refugees on the border with slovenia,,twitter,,,2019-11-14 11:44:35.000000,0.95,1.00,"['slovenia', 'austria']",,,,0101000000151DC9E53F042D402CD49AE61D074740,
744,Хорватия открыла границу с Сербией для тыс. мигрантов https://t.co/BMFRp3lHq7,croatia opened the border with serbia for thousands of migrants,['http://pbs.twimg.com/media/CSCeBM_U8AEep-Q.jpg'],twitter,,,2019-11-15 23:25:04.000000,0.78,1.00,"['croatia', 'serbia']",,,,01010000004850FC1873F72F40545227A089E84640,
745,Хорватия доставила 4 тысячи мигрантов на границу со Словенией https://t.co/UCwSfYdqEN,croatia delivered 4 000 migrants to the border with slovenia,['http://pbs.twimg.com/media/CSMQtW0UcAAzb0Z.jpg'],twitter,,,2019-11-17 21:03:07.000000,0.86,1.00,"['croatia', 'slovenia']",,,,01010000004850FC1873F72F40545227A089E84640,
746,"В Чехии беженцы обходят пограничные кордоны, чтобы добраться до Австрии",in the czech republic refugees bypass border cordons to get to austria,,twitter,,,2019-11-18 09:58:34.000000,0.53,0.13,"['czech republic', 'austria']",,,,0101000000857CD0B359D52C40DFE00B93A90A4940,
747,"Словения закрыла границы для беженцев, продолжающих прибывать в Евросоюз",slovenia closed borders for refugees continuing to arrive in the european union,,twitter,,,2019-11-18 10:54:35.000000,0.80,0.26,"['slovenia', 'european union']",,,,0101000000151DC9E53F042D402CD49AE61D074740,
748,Хорватия напрямую начала отправлять мигрантов поездами в Словению https://t.co/tAY86kgb36,croatia directly started sending migrants by train to slovenia,['http://pbs.twimg.com/media/CSVtL4TUsAA-F7E.jpg'],twitter,train,,2019-11-19 17:04:07.000000,0.97,0.46,"['croatia', 'slovenia']",,,SI0,01010000004850FC1873F72F40545227A089E84640,
749,В Эгейском море погибли по меньшей мере 10 мигрантов #вмире,at least 10 migrants died in the aegean sea,,twitter,,10,2019-11-21 10:40:37.000000,0.71,0.25,['aegean sea'],,,,01010000003333333333F336400000000000804340,
750,СМИ: На границе РФ с Норвегией застряли 500 сирийских беженцев https://t.co/bNscpNGkqX,media 500 syrian refugees stuck on the border of russia and norway,['http://pbs.twimg.com/media/CSfbO6vUwAACLQI.jpg'],twitter,,500,2019-11-21 14:21:53.000000,0.68,0.91,"['syria', 'russia', 'norway']",,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
751,СМИ: На границе России и Норвегией застряли 500 мигрантов из Сирии https://t.co/BCWXCgSTY3 https://t.co/0AkM6dSPRp,media 500 migrants from syria stuck on the border between russia and norway,['http://pbs.twimg.com/media/CSjyEIYUwAAhy-w.jpg'],twitter,,500,2019-11-22 10:40:07.000000,0.55,0.82,"['syria', 'russia', 'norway']",,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
752,RT @mrrulkin1: Тысячи беженцев  устроили столпотворение на границе Словении с Австрией,mrrulkin1 thousands of refugees raided the slovenian austrian border,,twitter,,,2019-11-23 12:04:39.000000,0.91,0.93,"['slovenia', 'austria']",,,,0101000000151DC9E53F042D402CD49AE61D074740,
753,Глава ДНР Александр Захарченко выразил соболезнования...,the head of the dpr alexander zakharchenko expressed condolences,,twitter,,,2019-11-24 05:42:45.000000,0.51,0.18,[],,,,,
754,Греция отправила самолетом в Люксембург 30 мигрантов,greece sent 30 migrants by plane to luxembourg,,twitter,,30,2019-11-27 10:29:55.000000,0.94,0.00,"['greece', 'luxembourg']",,,LU,010100000000000000000036400000000000804340,
755,ООН: в Европу по Средиземному морю прибыли 750 тысяч мигрантов,un 750 000 migrants arrived in europe in the mediterranean sea,,twitter,,,2019-11-27 18:42:42.000000,0.70,0.95,['mediterranean sea'],,,,010100000000000000000032400000000000804140,
756,RT @totingri89: СМИ сообщили о 500 сирийских беженцах на границе России с Норвегией,totingri89 the media reported about 500 syrian refugees on the russian border with norway,,twitter,,500,2019-11-29 11:21:12.000000,0.92,0.40,"['syria', 'russia', 'norway']",,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
757,Тысячи беженцев устроили давку на границе Словении с Австрией,thousands of refugees staged a crush on the border of slovenia with austria,,twitter,,,2019-11-29 19:09:04.000000,0.67,0.99,"['slovenia', 'austria']",,,,0101000000151DC9E53F042D402CD49AE61D074740,
758,Австрия примет решение о продлении погранконтроля из-за мигрантов,austria will decide on the extension of the border control due to migrants,,twitter,,,2019-12-02 23:06:37.000000,0.51,0.36,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
759,Швеция вводит пограничный контроль из-за наплыва беженцев,sweden introduces border controls due to the influx of refugees,,twitter,,,2019-12-05 04:57:25.000000,0.97,0.87,['sweden'],,,,,
760,Швеция ввела пограничный контроль из-за наплыва мигрантов https://t.co/KovV6Ws4fo,sweden imposed border controls due to the influx of migrants,['http://pbs.twimg.com/media/CTsRhakVEAASHIZ.jpg'],twitter,,,2019-12-06 12:30:13.000000,0.70,0.88,['sweden'],,,,,
761,Франция вводит чрезвычайное положение и закрывает границы,france introduces state of emergency and closes borders,,twitter,,,2019-12-06 23:09:13.000000,0.55,0.06,['france'],,,,,
762,Франсуа Олланд закрывает границы Франции https://t.co/wug03iROvI #russian #новости #news,francois hollande closes the borders of france russian news news,,twitter,,,2019-12-06 23:29:02.000000,0.77,0.43,"['france', 'russia']",,,,,
763,RT @sanndrio: Франция закрыла границы. Введено Чрезвычайное Положение. Отменены все массовые мероприятия.,france has closed borders entered state of emergency canceled all public events,,twitter,,,2019-12-07 05:38:30.000000,0.70,0.05,['france'],,,,,
764,Пограничный контроль возобновлен на границах Франции,border control resumed at the borders of france,,twitter,,,2019-12-07 09:13:33.000000,0.77,0.32,['france'],,,,,
765,Глава ДНР Александр Захарченко выразил соболезнование...,the head of the dni alexander zakharchenko expressed condolences,,twitter,,,2019-12-07 09:46:38.000000,0.92,0.10,[],,,,,
766,"RT @cjmimun: Parigi: chiuse stazioni metropolitana a Bruxelles
Circolano gli autobus, ma non tutti i tram",paris brussels metro stations closed buses circulate but not all trams,,twitter,bus,,2019-12-14 07:55:04.000000,0.61,0.02,[],,,,,
767,"Emergenza immigrazione, oltre 1500 i migranti sbarcati oggi tra Cagliari e Palermo.
Se ne parla ora a #TG24Pomeriggio http://t.co/BS5hVZkoOL",immigration emergency over 1500 migrants landed today between cagliari and palermo if they talk about it now at tg24 afternoon,['http://pbs.twimg.com/media/CNLPk6wWEAAz5Lw.jpg'],twitter,,1500,2019-09-16 13:00:04.000000,0.92,0.05,"['cagliari', 'palermo']",,,,01010000006284F068E3382240B003E78C289D4340,
768,"RT @SkyTG24: #UltimOra #Migranti in fuga da campo #Ungheria, chiuso confine con #Serbia #SkyTG24canale27 http://t.co/cDqTVlDB0v",skytg24 ultimora migrants fleeing from camp hungary closed border with serbia skytg24canale27,,twitter,,,2019-09-27 11:22:40.000000,0.69,0.94,"['hungary', 'serbia']",,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,
769,RT @rossipresidente: #refugeeswelcome La #pace oggi cammina da #Budapest a #Vienna http://t.co/3KKGYZcVG5,refugeeswelcome the pace today walks from budapest to vienna,['http://pbs.twimg.com/media/COEsPSoWwAEy8Px.jpg'],twitter,on foot,,2019-09-27 16:43:46.000000,0.99,0.95,"['budapest', 'vienna']",,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,
770,"Giunti nel porto di Reggio 351 migranti
 REGGIO CALABRIA – E’ giunta nel porto di Reggio Calabria la nave... http://t.co/aDCqVCtNgK",arrived in the port of reggio 351 migrants reggio calabria the ship has arrived in the port of reggio calabria,,twitter,boat,351,2019-10-24 10:54:59.000000,0.73,0.40,['reggio calabria'],,,,0101000000DE718A8EE4522F402063EE5A420E4340,
771,"RT @Agenzia_Ansa: #Migranti, chiuso Eurotunnel invaso da 100 profughi. Ungheria conclude muro con Croazia http://t.co/i5iZWU84Wo http://t.c…",migranti closed eurotunnel invaded by 100 refugees hungary concludes wall with croatia t c,['http://pbs.twimg.com/media/CQZkhCRWoAAr-Kd.jpg'],twitter,,100,2019-10-26 14:33:20.000000,0.73,0.84,"['hungary', 'croatia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
772,RT @RaiNews: 103mila i #migranti arrivati sulle coste europee attraverso il #Mediterraneo nel 2015 (Unhcr) http://t.co/YpAuzF58pq http://t.…,103 000 migrants arrived on the european coasts through the mediterranean in 2015 unhcr t,['http://pbs.twimg.com/media/CHEttJ7WoAArhyC.jpg'],twitter,,,2019-07-02 17:00:11.000000,0.85,0.73,[],,,,,
773,"RT @CorriereUmbria: #Umbria Arrivano altri 80 #migranti, ma c’è chi fa subito perdere le tracce - Corriere dell'Umbria http://t.co/JLusUoKU…",corriereumbria umbria another 80 migrants are arriving but there are those who immediately lose track corriere dellumbria,,twitter,,80,2019-05-28 07:07:48.000000,0.57,0.04,['umbria'],,,,,
774,"Cagliari: 210 migranti soccorsi in Libia sono sbarcati al porto canale, chiusa e subito… http://t.co/oAPWmoWiV5",cagliari 210 migrants rescued in libya landed at the canal port closed and immediately,,twitter,,210,2019-05-30 12:50:40.000000,0.72,0.38,"['cagliari', 'libya']",,,,01010000006284F068E3382240B003E78C289D4340,
775,Immigrazione: 23 profughi fermati vicino a confine austriaco http://t.co/9wIpYBA835,immigration 23 refugees stopped near the austrian border,,twitter,,23,2019-05-31 17:04:26.000000,0.99,1.00,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
776,"Frontiera austriaca blindata: i #migranti fermi al Brennero. E alcuni ritornano a #Milano

http://t.co/fPin1pKyUI",reinforced austrian border the migrants stopped at the brenner and some come back to milano,,twitter,,,2019-06-22 05:59:48.000000,0.59,0.26,"['milano', 'austria']",,,ITC4C,010100000059C0046EDD5D224088855AD3BCBB4640,
777,RT @ItalianNavy: #SAR Nave Fenice  #MarinaMilitare ha terminato ad #Augusta  lo sbarco dei 454 #migranti soccorsi http://t.co/dp4HAzXjhA,sar fenice ship marinamilitare has ended the landing of the 454 migrants rescued at augusta,['http://pbs.twimg.com/media/CGVFzmzWoAA0v9l.jpg'],twitter,boat,454,2019-06-23 11:03:45.000000,0.55,0.02,[],,,,,
778,Da inizio 2015 circa 90mila #rifugiati e #migranti hanno attraversato il #Mediterraneo per raggiungere l’Europa http://t.co/Am69zV69iD,since the beginning of 2015 around 90 000 refugees and migrants have crossed the mediterranean to reach europe,,twitter,,0,2019-06-28 14:17:02.000000,0.88,1.00,[],,,,,
779,RT @ItalianNavy: #SAR Nave FASAN #marinamilitare inizia operazioni di recupero di 120 #migranti da #gommone in difficoltà.,sar fasan ship marinamilitare starts recovery operations of 120 migrants from gommone in difficulty,,twitter,boat,120,2019-06-30 13:25:26.000000,0.66,0.01,[],,,,,
780,"RT @Youstitia: Migranti a Bologna, Lega Nord: “Bloccare gli autobus e rispedirli indietro” http://t.co/ZRajQ76zM6",migrants in bologna lega nord block the buses and send them back,,twitter,bus,,2019-07-01 14:06:26.000000,0.53,0.01,[],,,,,
781,La Francia violenta contro i migranti. E chiude le frontiere all'Italia  http://t.co/CPnHvf5ljF,violent france against migrants it closes the borders to italy,,twitter,,,2019-07-05 14:29:17.000000,0.93,0.51,"['france', 'italy']",,,,,
782,"RT @EleonoraCamilli: Una tensostruttura a #Tiburtina per alleggerire situazione #Baobab 250 #migranti trasferiti già stasera, dice #Danese
…",a tiburtina tensile structure to lighten up baobab 250 situation migrants already transferred tonight says danese,,twitter,,250,2019-07-06 13:45:44.000000,0.61,0.00,[],,,,,
783,#migranti: francia chiude frontiere e noi con le stazioni piene di disperati. Un altro trionfo dei nostri demagoghi finti solidali.vergogna!,migrants france closes borders and us with desperate stations another triumph of our fake solidarity demagogues,,twitter,,,2019-07-06 17:18:04.000000,0.92,0.01,['france'],,,,,
784,"Migranti, la Francia blinda le frontiere. Europa divisa sui profughi http://t.co/z9KiCrCwne",migrants france blinds the borders europe divided on refugees,,twitter,,,2019-07-06 20:51:04.000000,0.70,0.99,['france'],,,,,
785,"RT @1001ptsIT: La Francia chiude le frontiere, i migranti bloccati a Ventimiglia. E’ caos http://t.co/xXyPhOZO1F http://t.co/b87j2cnsDe",1001ptsit france closes borders migrants blocked in ventimiglia it is chaos,['http://pbs.twimg.com/media/CHcXxkQW8AAmg8A.jpg'],twitter,,,2019-07-07 07:15:15.000000,0.63,0.02,"['ventimiglia', 'france']",,,,0101000000E5B33C0FEE6E1E40B003E78C28E54540,
786,"RT @massimo_limonta: SVIZZERA respinge migliaia di migranti, Francia gendarmerie su confine, altri UE chiudono frontiere.
Italia subisce. h…",switzerland rejects thousands of migrants france gendarmerie on the border other eu closes borders italy suffers h,['http://pbs.twimg.com/media/CHfB_3TWsAI0txN.jpg'],twitter,,,2019-07-07 19:38:58.000000,0.94,0.95,"['switzerland', 'france', 'italy']",,,,010100000019E76F4221C21D40EE5A423EE8794740,
787,"RT @SkyTG24: Domani dalle 10 #immigrazione #Ungheria, muro al confine con Serbia per fermare i migranti. Commentate #FattieDomande http://t…",skytg24 tomorrow from 10 am immigration hungary a wall on the border with serbia to stop migrants commented fattiedomande t,['http://pbs.twimg.com/media/CHuXCzFWEAERmK3.jpg'],twitter,,10,2019-07-10 19:05:13.000000,0.64,1.00,"['hungary', 'serbia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
788,Sono 419 i migranti sbarcati stamattina nel porto di Catania. http://t.co/OTcxXy9cCQ,419 migrants landed this morning in the port of catania,,twitter,,419,2019-07-23 15:18:52.000000,0.54,0.38,['catania'],,,,010100000058A835CD3B2E2E400000000000C04240,
789,RT @Piovegovernolad: 647 migranti in arrivo a porto di Palermo - http://t.co/B4eyIvM8B8 http://t.co/mOwRuDm9Or,647 migrants arriving at the port of palermo,['http://pbs.twimg.com/media/CIwivyLWwAAPdb9.jpg'],twitter,,647,2019-07-23 15:31:17.000000,0.89,0.44,['palermo'],,,,0101000000EBE2361AC0BB2A40BBB88D06F00E4340,
790,"RT @Internazionale: Al confine tra Serbia e Ungheria, sulle tracce dei migranti che sognano l'Europa. http://t.co/ZnCOKe251n http://t.co/ID…",on the border between serbia and hungary on the trail of migrants who dream of europe,['http://pbs.twimg.com/media/CKC_pouUEAAsySg.jpg'],twitter,,,2019-08-08 21:01:02.000000,0.60,0.93,"['serbia', 'hungary']",,,,01010000000F0BB5A679773440545227A089684640,
791,Salvini: i migranti in arrivo portiamoli sui pullman a Bruxelles Salvini: i migranti in arrivo portiamoli sui pullman a Bruxelles -...,salvini incoming migrants take them on buses to brussels salvini incoming migrants take them on buses to brussels,,twitter,bus,,2019-08-24 18:40:06.000000,0.91,0.05,['brussels'],,,BE100,,
792,RT @UNHCRItalia: Circa 264.500 #rifugiati e #migranti hanno attraversato il #Mediterraneo a partire da gennaio. http://t.co/uaBkVcstDM http…,approximately 264 500 refugees and migrants have crossed the mediterranean since january,['http://pbs.twimg.com/media/CM2rx0OWEAA52eE.jpg'],twitter,,,2019-09-12 13:11:15.000000,0.99,1.00,[],,,,,
793,RT @ultimenotizie: 5 migranti sono rimasti feriti negli scontri scoppiati al confine tra la #Grecia e la #Macedonia dove sono ammassati mig…,5 migrants were injured in clashes that broke out on the border between grecia and macedonia where mig,,twitter,,5,2019-09-13 13:05:51.000000,0.57,0.68,"['grecia', 'macedonia']",,,,010100000000000000000036400000000000804340,
794,"Macedonia, migliaia di migranti bloccati alla frontiera. Molti riescono a passare http://t.co/qUHhtQV9md",macedonia thousands of migrants stranded at the border many manage to pass,,twitter,,,2019-09-14 14:02:34.000000,0.57,0.99,['macedonia'],,,,0101000000575BB1BFEC6E35400000000000004540,
795,"""Macedonia, ancora frontiere chiuse. I migranti passano dal filo spinato"" - http://t.co/lt7wNeffC7 http://t.co/jvg5cMgDxk",macedonia still closed borders migrants pass by barbed wire,['http://pbs.twimg.com/media/CNBxOh7WoAAP-zV.jpg'],twitter,,,2019-09-14 16:50:53.000000,0.81,0.04,['macedonia'],,,,0101000000575BB1BFEC6E35400000000000004540,
796,"RT @Corriereit: In arrivo i 4.400 migranti salvati Macedonia apre la frontiera|foto
 http://t.co/Nl4FxyRGcz http://t.co/dJSjAZskcn",corriereit on arrival the 4 400 migrants saved macedonia opens the border photo,['http://pbs.twimg.com/media/CNFgm38W8AAo2W1.jpg'],twitter,,,2019-09-15 10:16:45.000000,0.98,0.05,['macedonia'],,,,0101000000575BB1BFEC6E35400000000000004540,
797,Da lunedì più di 2200 migranti sono sbarcati sulle coste italiane. Croce Rossa li ha accolti nei porti e si... http://t.co/GrW9O2xz6y,since monday more than 2 200 migrants have landed on the italian coasts croce rossa welcomed them in the ports and,,twitter,,,2019-09-19 18:01:54.000000,0.74,0.12,['italia'],,,,010100000000000000000029403333333333F34440,
798,"Caos a Budapest, stop circolazione treni: migliaia di migranti in arrivo - Caos a Budapest, stop... http://t.co/iBQ1zP1ljU",chaos in budapest train stops thousands of migrants arriving chaos in budapest stop,,twitter,train,,2019-09-24 08:49:00.000000,0.99,0.98,['budapest'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
799,RT @Internazionale: L'Ungheria chiude la stazione di Budapest per fermare i migranti. Reportage dall'archivio. http://t.co/QIEiwAocVo http:…,hungary closes the budapest station to stop migrants reportage from the archive,['http://pbs.twimg.com/media/CNz1VLiWsAArASD.jpg'],twitter,,,2019-09-24 10:09:55.000000,0.99,0.78,"['hungary', 'budapest']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
800,"RT @Internazionale: Reportage dalla Croazia, dove arrivano migliaia di migranti che nessuno sa come gestire. http://t.co/rxdnS21Wvs http://…",reportage from croatia where thousands of migrants arrive that nobody knows how to manage,['http://pbs.twimg.com/media/CN4rJq_WEAAoNsb.jpg'],twitter,,,2019-09-25 08:43:32.000000,0.80,0.98,['croatia'],,HR0,,01010000004850FC1873F72F40545227A089E84640,
801,"Altri 2.284 migranti e profughi sono entrati in #Ungheria nelle ultime 24 ore, circa 500 in più rispetto alla giornata precedente.",another 2 284 migrants and refugees entered hungary in the last 24 hours around 500 more than the previous day,,twitter,,,2019-09-25 09:18:59.000000,0.88,0.66,['hungary'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
802,"Ancora tensione a Budapest: la polizia riapre la stazione, i migranti assaltano un treno (il Giornale)  http://t.co/JRGJ0SjJZJ",still tension in budapest the police reopen the station the migrants storm a train the journal,,twitter,train,,2019-09-26 08:46:03.000000,0.84,0.22,['budapest'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
803,"La marcia dei migranti attraversa l’Europa, centinaia a piedi da Budapest verso Vienna http://t.co/oD4WU8AtF3 via @la_stampa",the march of migrants crosses europe hundreds of feet from budapest to vienna via,,twitter,on foot,,2019-09-27 19:39:06.000000,0.80,0.94,"['budapest', 'vienna']",,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,
804,"Ungheria, migranti su bus verso Austria http://t.co/LXtBtH0K46",hungary migrants on buses to austria,,twitter,bus,,2019-09-28 00:12:40.000000,0.97,1.00,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
805,#Esteri: Lunga marcia dei migranti A piedi da Budapest a Vienna - AGI - Agenzia Giornalistica Italia http://t.co/MbLLSaAmbn,esteri long march of migrants on foot from budapest to vienna agi italy news agency,,twitter,on foot,,2019-09-28 00:16:58.000000,0.87,0.90,"['budapest', 'vienna', 'italy']",,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,
